2017-06-07 00:30:50.435	    7f3f4b17b740	INFO 	global	src/daemon/rpc.h:63	Core rpc server initialized OK on port: 18081
2017-06-07 00:30:50.435	    7f3f4b17b740	INFO 	global	src/daemon/core.h:73	Initializing core...
2017-06-07 00:30:50.436	    7f3f4b17b740	INFO 	global	src/cryptonote_core/cryptonote_core.cpp:326	Loading blockchain from folder /app/.bitmonero/lmdb ...
2017-06-07 00:30:50.910	    7f3f4b17b740	WARN 	net.dns	src/common/dns_utils.cpp:531	WARNING: no two valid MoneroPulse DNS checkpoint records were received
2017-06-07 00:30:50.910	    7f3f4b17b740	INFO 	global	src/daemon/core.h:78	Core initialized OK
2017-06-07 00:30:50.910	    7f3f4b17b740	INFO 	global	src/daemon/rpc.h:68	Starting core rpc server...
2017-06-07 00:30:50.910	[SRV_MAIN]	INFO 	global	src/daemon/rpc.h:73	Core rpc server started ok
2017-06-07 00:30:50.910	[SRV_MAIN]	INFO 	global	src/daemon/p2p.h:78	Starting p2p net loop...
2017-06-07 00:30:50.911	[SRV_MAIN]	INFO 	global	src/daemon/p2p.h:80	p2p net loop stopped
2017-06-07 00:30:50.911	[SRV_MAIN]	INFO 	global	src/daemon/rpc.h:78	Stopping core rpc server...
2017-06-07 00:30:50.912	[SRV_MAIN]	INFO 	global	src/daemon/daemon.cpp:145	Node stopped.
2017-06-07 00:30:50.912	[SRV_MAIN]	INFO 	global	src/daemon/rpc.h:90	Deinitializing rpc server...
2017-06-07 00:30:50.912	[SRV_MAIN]	INFO 	global	src/daemon/p2p.h:90	Deinitializing p2p...
2017-06-07 00:30:51.911	[SRV_MAIN]	INFO 	global	src/daemon/core.h:89	Deinitializing core...
2017-06-07 00:30:51.916	[SRV_MAIN]	INFO 	global	src/daemon/protocol.h:77	Stopping cryptonote protocol...
2017-06-07 00:30:51.916	[SRV_MAIN]	INFO 	global	src/daemon/protocol.h:81	Cryptonote protocol stopped successfully
2017-06-07 00:30:51.922	    7fccf1d1e740	INFO 	global	contrib/epee/src/mlog.cpp:145	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO
2017-06-07 00:30:51.922	    7fccf1d1e740	INFO 	global	src/daemon/main.cpp:282	Monero 'Wolfram Warptangent' (v0.10.3.1-release)
2017-06-07 00:30:51.922	    7fccf1d1e740	INFO 	global	src/daemon/protocol.h:55	Initializing cryptonote protocol...
2017-06-07 00:30:51.922	    7fccf1d1e740	INFO 	global	src/daemon/protocol.h:60	Cryptonote protocol initialized OK
2017-06-07 00:30:51.923	    7fccf1d1e740	INFO 	global	src/daemon/p2p.h:63	Initializing p2p server...
2017-06-07 00:30:55.943	    7fccf1d1e740	INFO 	global	src/daemon/p2p.h:68	P2p server initialized OK
2017-06-07 00:30:55.943	    7fccf1d1e740	INFO 	global	src/daemon/rpc.h:58	Initializing core rpc server...
2017-06-07 00:30:55.943	    7fccf1d1e740	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:70	Binding on 127.0.0.1:18081
2017-06-07 00:30:55.943	    7fccf1d1e740	INFO 	global	src/daemon/rpc.h:63	Core rpc server initialized OK on port: 18081
2017-06-07 00:30:55.943	    7fccf1d1e740	INFO 	global	src/daemon/core.h:73	Initializing core...
2017-06-07 00:30:55.943	    7fccf1d1e740	INFO 	global	src/cryptonote_core/cryptonote_core.cpp:326	Loading blockchain from folder /app/.bitmonero/lmdb ...
2017-06-07 00:30:56.710	    7fccf1d1e740	WARN 	net.dns	src/common/dns_utils.cpp:531	WARNING: no two valid MoneroPulse DNS checkpoint records were received
